"PointID"	"x"	"y"	"Displacement_1"	"Displacement_2"	"Sxx"	"Syy"	"Sxy"	"Von_Mises_Stress"
0	0.000000000000000e+00	1.200000000000000e+01	0.000000000000000e+00	-3.086173194652437e-02	-2.663740496702803e+03	-1.128315247047942e+03	3.970952751602778e+02	1.728661137266688e+03	
1	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	-3.055338650784882e-02	2.020247484577278e+03	5.524184198222811e+01	7.080850591132773e+01	1.970102168281626e+03	
2	5.200000000000000e+01	0.000000000000000e+00	4.804046191263541e-03	0.000000000000000e+00	-5.572665916147730e+02	3.660376832364713e+03	-1.813185527363627e+03	5.562291171666677e+03	
3	5.200000000000000e+01	1.200000000000000e+01	-5.069836466780922e-03	4.141478179890908e-04	1.869886097684255e+00	1.864695260822093e+00	8.748956615691925e-01	1.749799022550222e+00	
4	0.000000000000000e+00	1.100000000000000e+01	0.000000000000000e+00	-3.082882825068964e-02	-1.715304023827957e+03	-7.826391384530748e+02	2.232990329477755e+02	1.034076216181858e+03	
5	0.000000000000000e+00	1.000000000000000e+01	0.000000000000000e+00	-3.080813693886094e-02	-1.280521571831319e+03	-5.428675682894952e+02	1.419563649427498e+02	7.904048754482211e+02	
6	0.000000000000000e+00	9.000000000000000e+00	0.000000000000000e+00	-3.079709418090758e-02	-9.206920866135383e+02	-3.761304643622908e+02	1.091093827705045e+02	5.866573020624156e+02	
7	0.000000000000000e+00	8.000000000000000e+00	0.000000000000000e+00	-3.078815632752570e-02	-5.929951962646714e+02	-2.744143755904475e+02	9.313868524064713e+01	3.690433552509616e+02	
8	0.000000000000000e+00	7.000000000000000e+00	0.000000000000000e+00	-3.077779258922995e-02	-2.771106740718134e+02	-2.036781527536831e+02	8.450336132018731e+01	1.842704737194165e+02	
9	0.000000000000000e+00	6.000000000000000e+00	0.000000000000000e+00	-3.076404755212895e-02	3.436533928911038e+01	-1.502097466653060e+02	7.943701164417831e+01	2.435342227098883e+02	
10	0.000000000000000e+00	5.000000000000000e+00	0.000000000000000e+00	-3.074568832599019e-02	3.454821225395258e+02	-1.076187858963976e+02	7.630250188013147e+01	4.781095276169771e+02	
